symbol,ticker,company_name,sector,market_cap,enterprise_value,net_income,book_value,free_cash_flow,ebitda,revenue,gross_profit,operating_income,operating_cash_flow,total_assets,total_debt,net_cash,earnings_yield,book_to_market,fcf_yield,ev_ebitda,dividend_yield,net_cash_to_market_cap,roe,gross_profitability,operating_margin,fcf_conversion,debt_to_ebitda,accrual_quality,revenue_growth,eps_growth,negative_earnings_years,negative_fcf_years,last_price,change_20d,average_daily_value,technical_score,risk_score,position_52w,market_date,undervaluation_score,value_score,quality_score,growth_stability_score,value_trap_risk,data_completeness,confidence,piotroski_f_score,piotroski_completeness,value_data_completeness,quality_data_completeness,growth_data_completeness,earnings_yield_score,earnings_yield_contribution,book_to_market_score,book_to_market_contribution,fcf_yield_score,fcf_yield_contribution,ev_ebitda_score,ev_ebitda_contribution,dividend_yield_score,dividend_yield_contribution,shareholder_yield_score,shareholder_yield_contribution,net_cash_to_market_cap_score,net_cash_to_market_cap_contribution,roe_score,roe_contribution,roic_score,roic_contribution,gross_profitability_score,gross_profitability_contribution,operating_margin_score,operating_margin_contribution,fcf_conversion_score,fcf_conversion_contribution,debt_to_ebitda_score,debt_to_ebitda_contribution,accrual_quality_score,accrual_quality_contribution,earnings_stability_score,earnings_stability_contribution,fcf_stability_score,fcf_stability_contribution,revenue_growth_score,revenue_growth_contribution,eps_growth_score,eps_growth_contribution,fcf_growth_score,fcf_growth_contribution,margin_stability_score,margin_stability_contribution,earnings_volatility_score,earnings_volatility_contribution,reasons,technical_score_score_output,technical_risk_score,liquidity_score,liquidity_risk_score,overall_score,eligible,filter_reasons,rank
6501,6501.T,日立製作所,電気機器,25522954305536.0,24793130729472.0,799613976576.0,6560647494468.049,,1754138017792.0,11038041833472.0,3327742967808.0,1198841767685.5613,1722143997952.0,,1056926990336.0,821918957568.0,0.03101893799221238,0.25704893733655865,,14.134,0.97,0.03220312773077855,,,0.108610004,,0.6025335404715725,,0.2,0.005,0,0,5702.0,0.18742190753852572,66856937820.0,76.51484820686366,65.32541438068,0.9416792357968828,2026-08-13,39.10214285714285,33.92857142857142,50.0,75.0,14.299999999999999,52.333333333333336,47.34422222222223,2.0,22.22222222222222,70.0,37.0,50.0,25.0,-2.8499999999999996,25.0,-1.95,,,0.0,-4.2,50.0,0.0,,,75.0,2.25,50.0,0.0,,,,,50.0,0.0,,,50.0,0.0,,,,,,,100.0,1.875,50.0,0.0,,,,,,,revenue_growthが相対的に良好 / ネットキャッシュが相対的に良好,76.51484820686366,65.32541438068,76.0,72.797624314204,51.82486734027917,True,,11
8031,8031.T,三井物産,卸売業,13870517190656.0,19145582182400.0,936376008704.0,8978719639888.908,-731182858240.0,775447969792.0,15042844033024.0,1440500023296.0,511155840242.1556,732635987968.0,,5880954748928.0,-4996358733824.0,0.0594728186619044,0.647324020757351,-0.052714895067688464,24.69,2.86,-0.36021430673038224,0.11378,,0.03398,-0.7808645794460288,7.583944994408149,,0.317,0.556,0,1,4894.0,0.0417198808003405,31088214785.0,47.27351190795494,59.494715104841546,0.5040741781399269,2026-08-13,47.45,56.666666666666664,49.99999999999999,83.33333333333333,33.0,63.333333333333336,49.400000000000006,1.0,22.22222222222222,90.0,50.0,50.0,66.66666666666666,1.8999999999999988,100.0,3.9,33.33333333333333,-2.0000000000000004,33.33333333333334,-1.3999999999999992,100.0,2.7,,,33.33333333333333,-1.5000000000000004,66.66666666666666,0.5416666666666664,,,,,66.66666666666666,0.4999999999999997,33.33333333333333,-0.5416666666666669,33.33333333333334,-0.4999999999999997,,,,,,,100.0,1.875,66.66666666666666,0.6249999999999997,,,,,,,純資産価値が相対的に良好 / dividend_yieldが相対的に良好 / revenue_growthが相対的に良好,47.27351190795494,59.494715104841546,48.0,51.44841453145246,47.80571943013398,True,,12
4502,4502.T,武田薬品工業,医薬品,8876341592064.0,13866118414336.0,-163436003328.0,7636581916623.985,541443883008.0,1249335967744.0,4618934812672.0,2977719910400.0,759629973102.689,953630982144.0,,5536499105792.0,-5075517112320.0,,0.8603299864489424,0.060998540602818216,11.099,3.67,-0.5718028153465643,-0.02262,,0.16445999,3.3128800997499637,4.431553440176372,,0.102,-0.098,1,0,5559.0,0.043551717664726874,23580309705.0,82.1874342241834,74.34666890784644,0.8094415659182499,2026-08-13,34.63319865319866,49.79506172839507,50.33373737373738,24.818181818181817,33.0,63.333333333333336,49.400000000000006,2.0,22.22222222222222,90.0,50.0,50.0,6.0,-5.016,72.0,1.716,77.77777777777779,3.3333333333333344,50.0,0.0,84.0,1.836,,,28.000000000000004,-1.9799999999999995,6.0,-1.4300000000000002,,,,,60.0,0.3,94.44444444444444,1.4444444444444444,40.90909090909091,-0.2727272727272728,,,,,,,36.0,-0.525,13.636363636363635,-1.3636363636363638,,,,,,,fcf_conversionが相対的に良好 / dividend_yieldが相対的に良好 / FCF利回りが相対的に良好,82.1874342241834,74.34666890784644,32.0,44.70400067235393,47.52883774786038,True,,13
4519,4519.T,中外製薬,医薬品,11807016091648.0,10857283059712.0,471372005376.0,2028001072724.965,328479113216.0,663342022656.0,1342807998464.0,958000988160.0,632355142636.6669,449298006016.0,,0.0,962572976128.0,0.039949827810249666,0.1717623783606748,0.027820671257351656,16.368,1.84,0.08152550726249125,0.23493,,0.47092,0.696857491471055,0.0,,0.178,0.197,0,0,7175.0,-0.009114763154260408,20777898665.0,25.056241191997415,50.92166419286492,0.2619261926192619,2026-08-13,47.59494949494949,36.272727272727266,87.25252525252525,52.45454545454545,10.999999999999998,63.333333333333336,58.68888888888889,1.0,22.22222222222222,90.0,50.0,50.0,24.0,-2.9639999999999995,6.0,-3.432,50.0,0.0,18.181818181818173,-2.6727272727272737,24.0,-1.404,,,84.0,3.06,98.0,1.56,,,,,98.0,1.44,61.111111111111114,0.3611111111111112,93.18181818181819,1.2954545454545456,,,,,,,64.0,0.525,40.909090909090914,-0.3409090909090907,,,,,,,roeが相対的に良好 / operating_marginが相対的に良好 / debt_to_ebitdaが相対的に良好,25.056241191997415,50.92166419286492,20.0,29.276499257859474,40.12842739550248,True,,14
9984,9984.T,ソフトバンクグループ,情報・通信業,31771498381312.0,58253811646464.0,4908440879104.0,18227847887784.875,-2185302900736.0,528074997760.0,7997900193792.0,4115119996928.0,-923837403397.5128,-598097985536.0,,27790728495104.0,-23863656448000.0,0.156539916817819,0.5737169480231952,-0.06878186462938102,110.314,0.2,-0.751102644313326,0.31964,,-0.115509994,-0.445213246845689,52.626480354092344,,0.109,-0.178,0,1,5575.0,-0.15196227563127473,263007865765.0,53.55,0.0,0.46714310615304167,2026-08-13,30.3125,48.33333333333333,38.5,56.25,33.0,63.333333333333336,49.400000000000006,0.0,22.22222222222222,90.0,50.0,50.0,100.0,5.699999999999999,75.0,1.95,25.0,-3.0,0.0,-4.2,25.0,-1.35,,,50.0,0.0,100.0,1.625,,,,,25.0,-0.75,25.0,-0.8125,0.0,-1.5,,,,,,,87.5,1.40625,25.0,-0.9375,,,,,,,利益利回りが相対的に良好 / roeが相対的に良好 / revenue_growthが相対的に良好,53.55,0.0,100.0,70.0,40.090625,True,,15
8316,8316.T,三井住友フィナンシャルグループ,銀行業,26565832343552.0,-28984746180608.0,1262030946304.0,16157817179356.736,,,4715949064192.0,4715949064192.0,1928634434972.979,,,59157176647680.0,55170406809600.0,0.05913473814605737,0.6082179366510607,,,1.97,2.076743016974992,0.08569,,0.40895998,,,,0.248,0.35,0,0,6969.0,0.0002870676044208764,92681859175.0,81.28616927080074,68.84550919836286,0.93,2026-08-13,54.870714285714286,94.64285714285714,33.33333333333333,33.33333333333333,16.9,43.666666666666664,38.74688888888888,,0.0,56.00000000000001,25.0,50.0,100.0,5.699999999999999,100.0,3.9,,,,,66.66666666666666,0.8999999999999995,,,100.0,4.5,33.33333333333333,-0.5416666666666669,,,,,33.33333333333333,-0.5000000000000001,,,,,,,,,,,33.33333333333333,-0.6250000000000001,33.33333333333333,-0.6250000000000001,,,,,,,利益利回りが相対的に良好 / 純資産価値が相対的に良好 / ネットキャッシュが相対的に良好 / データ不足のため信頼度が低い,81.28616927080074,68.84550919836286,88.0,82.25365275950885,64.21287187936537,False,品質スコア不足,16
1605,1605.T,INPEX,鉱業,4300214108160.0,5670486671360.0,433455988736.0,5102570207866.425,208727998464.0,1434262962176.0,1962978967552.0,1102424047616.0,1180771108561.8792,819872989184.0,,1318322962432.0,-1102132969472.0,0.10005675218984209,1.1865851799070786,0.04853897810993223,3.954,3.01,-0.2562972311961431,0.092709996,,0.60152,0.48154369506503125,0.9191640565213363,,-0.026,0.629,0,0,3700.0,0.049943246311010325,17367815580.0,71.06311290686332,64.0807361507917,0.5718872636460934,2026-08-13,65.59750841750841,78.6776655443322,61.25454545454545,46.18181818181818,10.999999999999998,63.333333333333336,58.68888888888889,2.0,22.22222222222222,90.0,50.0,50.0,92.0,4.787999999999999,88.0,2.964,72.22222222222221,2.6666666666666656,93.18181818181819,3.627272727272728,60.0,0.54,,,60.0,0.8999999999999999,28.000000000000004,-0.7149999999999999,,,,,98.0,1.44,50.0,0.0,72.72727272727273,0.681818181818182,,,,,,,6.0,-1.65,86.36363636363636,1.3636363636363635,,,,,,,operating_marginが相対的に良好 / EV/EBITDAが相対的に良好 / 利益利回りが相対的に良好,71.06311290686332,64.0807361507917,8.0,24.824220845237505,62.886580782620044,False,流動性不足,17
9101,9101.T,日本郵船,海運業,2506487234560.0,3675581841408.0,228572004352.0,3114678992003.502,,342653501440.0,2550418898944.0,473244991488.0,202273722875.24866,,,1361653006336.0,-1135666003968.0,0.08129931260618199,1.2426471017679512,,10.727,3.92,-0.45309067938156083,0.07705,,0.07931,,3.9738482187214155,,0.211,0.374,0,0,6211.0,0.12804213585179802,18126153705.0,87.71186146511587,73.13448833061142,0.9346666666666666,2026-08-13,46.70795542295542,71.78961038961039,33.513513513513516,63.0,14.299999999999999,52.333333333333336,47.34422222222223,,0.0,70.0,37.0,50.0,80.0,3.42,92.0,3.276,,,59.090909090909086,0.7636363636363633,98.0,2.592,,,40.0,-0.8999999999999999,16.0,-1.105,,,,,36.0,-0.42,,,50.0,0.0,,,,,,,76.0,0.975,50.0,0.0,,,,,,,dividend_yieldが相対的に良好 / 純資産価値が相対的に良好 / 利益利回りが相対的に良好,87.71186146511587,73.13448833061142,12.0,30.340346499183422,55.32217104111834,False,品質スコア不足,18
7751,7751.T,キヤノン,電気機器,3861085683712.0,4605502029824.0,347333001216.0,3461754905734.9478,167895744512.0,726250029056.0,4700702244864.0,2249186869248.0,633795683675.0132,522431987712.0,,1270057009152.0,-525887012864.0,0.08649180503121101,0.8965755297640661,0.043484076310522875,6.341,3.51,-0.13620184993108433,0.10371,,0.13483,0.4833855231843885,1.7487875502089212,,0.036,0.555,0,0,4575.0,0.042616226071102936,21102671240.0,74.36112123005074,74.8134543093291,0.6168831168831169,2026-08-13,45.627777777777766,68.79629629629629,33.166666666666664,62.5,10.999999999999998,63.333333333333336,58.68888888888889,2.0,22.22222222222222,90.0,50.0,50.0,100.0,5.699999999999999,100.0,3.9,33.33333333333333,-2.0000000000000004,75.0,2.1,100.0,2.7,,,25.0,-2.25,25.0,-0.8125,,,,,75.0,0.75,33.33333333333333,-0.5416666666666669,0.0,-1.5,,,,,,,25.0,-0.9375,100.0,1.875,,,,,,,利益利回りが相対的に良好 / 純資産価値が相対的に良好 / dividend_yieldが相対的に良好,74.36112123005074,74.8134543093291,24.0,39.244036292798725,52.17273949234811,False,品質スコア不足,19
8058,8058.T,三菱商事,卸売業,17692360704000.0,23166311202816.0,895863029760.0,9632073879383.428,133405376512.0,776017018880.0,19878287245312.0,1789672030208.0,576669112986.5011,1813612986368.0,,6490588971008.0,-4650688970752.0,0.04341473378844999,0.5444199001806113,0.007540281296765494,29.853,2.57,-0.2628642411580803,0.10077,,0.02901,0.14891269321353628,8.363977610150425,,0.228,0.579,0,0,4832.0,0.07473309608540935,38915142470.0,81.8429107952181,71.97553575256889,0.6373683301675013,2026-08-13,37.03888888888889,54.81481481481481,34.0,83.33333333333333,22.999999999999996,63.333333333333336,53.62222222222223,2.0,22.22222222222222,90.0,50.0,50.0,33.33333333333333,-1.9000000000000004,66.66666666666666,1.2999999999999992,66.66666666666666,1.999999999999999,0.0,-4.2,66.66666666666666,0.8999999999999995,,,100.0,4.5,33.33333333333333,-0.5416666666666669,,,,,33.33333333333333,-0.5000000000000001,66.66666666666666,0.5416666666666664,0.0,-1.5,,,,,,,66.66666666666666,0.6249999999999997,100.0,1.875,,,,,,,ネットキャッシュが相対的に良好 / eps_growthが相対的に良好,81.8429107952181,71.97553575256889,68.0,69.19266072577066,51.45527154915937,False,品質スコア不足,20
